1,1,1,517,149
1,1,2,159,353
1,1,3,93,325
1,2,1,205,87
1,2,2,87,83
1,2,3,271,285
1,3,1,1235,300
1,3,2,945,318
1,3,3,255,308
2,1,1,125,327
2,1,2,261,399
2,1,3,509,163
2,2,1,325,161
2,2,2,113,99
2,2,3,273,265
2,3,1,303,346
2,3,2,929,360
2,3,3,1261,326
3,1,1,501,149
3,1,2,255,203
3,1,3,243,385
3,2,1,215,91
3,2,2,293,297
3,2,3,139,323
3,3,1,1235,314
3,3,2,317,318
3,3,3,625,632
4,1,1,117,327
4,1,2,497,163
4,1,3,323,391
4,2,1,217,107
4,2,2,325,135
4,2,3,83,81
4,3,1,1247,318
4,3,2,1113,666
4,3,3,301,306
5,1,1,493,147
5,1,2,249,189
5,1,3,219,373
5,2,1,213,89
5,2,2,313,133
5,2,3,83,83
5,3,1,327,346
5,3,2,937,352
5,3,3,1231,340
6,1,1,497,177
6,1,2,121,325
6,1,3,213,375
6,2,1,211,85
6,2,2,269,281
6,2,3,95,77
6,3,1,265,322
6,3,2,1171,340
6,3,3,919,364
7,1,1,253,197
7,1,2,499,165
7,1,3,117,325
7,2,1,215,109
7,2,2,315,129
7,2,3,273,307
7,3,1,317,334
7,3,2,953,330
7,3,3,1237,326
8,1,1,497,251
8,1,2,267,381
8,1,3,125,321
8,2,1,195,161
8,2,2,317,133
8,2,3,91,99
8,3,1,1199,328
8,3,2,1095,652
8,3,3,957,292
9,1,1,249,379
9,1,2,497,179
9,1,3,255,185
9,2,1,275,279
9,2,2,319,157
9,2,3,215,97
9,3,1,313,334
9,3,2,1243,320
9,3,3,943,312
10,1,1,241,393
10,1,2,487,167
10,1,3,263,199
10,2,1,317,135
10,2,2,269,295
10,2,3,219,83
10,3,1,1069,714
10,3,2,1263,312
10,3,3,301,316
11,1,1,515,161
11,1,2,167,367
11,1,3,319,197
11,2,1,269,263
11,2,2,301,147
11,2,3,93,91
11,3,1,299,386
11,3,2,1163,692
11,3,3,627,628
12,1,1,257,189
12,1,2,287,395
12,1,3,295,67
12,2,1,321,131
12,2,2,395,101
12,2,3,151,135
12,3,1,295,338
12,3,2,613,606
12,3,3,1297,364
13,1,1,499,163
13,1,2,249,189
13,1,3,235,367
13,2,1,219,105
13,2,2,263,283
13,2,3,127,321
13,3,1,295,316
13,3,2,949,310
13,3,3,1265,322
14,1,1,249,159
14,1,2,507,107
14,1,3,259,175
14,2,1,267,277
14,2,2,335,115
14,2,3,235,71
14,3,1,407,388
14,3,2,1163,684
14,3,3,949,378
15,1,1,497,163
15,1,2,117,331
15,1,3,257,387
15,2,1,215,83
15,2,2,333,129
15,2,3,279,281
15,3,1,293,316
15,3,2,1251,306
15,3,3,945,310
16,1,1,499,153
