0,16,20,9,23,21,18,9,14,19,11,16,25,18
15,0,22,8,23,23,16,12,17,18,9,16,21,16
11,9,0,7,26,15,12,10,9,13,4,15,20,9
22,23,24,0,29,28,23,18,17,25,16,26,26,22
8,8,5,2,0,9,9,3,8,8,4,10,17,7
10,8,16,3,22,0,9,4,8,11,6,11,20,12
13,15,19,8,22,22,0,7,15,18,9,20,23,13
22,19,21,13,28,27,24,0,18,26,12,23,24,25
17,14,22,14,23,23,16,13,0,16,12,18,21,16
12,13,18,6,23,20,13,5,15,0,7,15,14,12
20,22,27,15,27,25,22,19,19,24,0,21,24,23
15,15,16,5,21,20,11,8,13,16,10,0,20,13
6,10,11,5,14,11,8,7,10,17,7,11,0,5
13,15,22,9,24,19,18,6,15,19,8,18,26,0
